Align,DE,Dir,GeneName
Bowtie,EdgeR,down,FBtr0089512
Bowtie,EdgeR,down,FBtr0089513
Bowtie,EdgeR,down,FBtr0079062
Bowtie,EdgeR,down,FBtr0306239
Bowtie,EdgeR,down,FBtr0081619
Bowtie,EdgeR,down,FBtr0114544
Bowtie,EdgeR,down,FBtr0112994
Bowtie,EdgeR,down,FBtr0334053
Bowtie,EdgeR,down,FBtr0113323
Bowtie,EdgeR,down,FBtr0082452
Bowtie,EdgeR,down,FBtr0300017
Bowtie,EdgeR,down,FBtr0072767
Bowtie,EdgeR,down,FBtr0080397
Bowtie,EdgeR,down,FBtr0089349
Bowtie,EdgeR,down,FBtr0085899
Bowtie,EdgeR,down,FBtr0345339
Bowtie,EdgeR,down,FBtr0087089
Bowtie,EdgeR,down,FBtr0087090
Bowtie,EdgeR,down,FBtr0086474
Bowtie,EdgeR,down,FBtr0088506
Bowtie,EdgeR,down,FBtr0077831
Bowtie,EdgeR,down,FBtr0299920
Bowtie,EdgeR,down,FBtr0074745
Bowtie,EdgeR,down,FBtr0080592
Bowtie,EdgeR,down,FBtr0076496
Bowtie,EdgeR,down,FBtr0072795
Bowtie,EdgeR,down,FBtr0332847
Bowtie,EdgeR,down,FBtr0273416
Bowtie,EdgeR,down,FBtr0330145
Bowtie,EdgeR,down,FBtr0306087
Bowtie,EdgeR,down,FBtr0076668
Bowtie,EdgeR,down,FBtr0333013
Bowtie,EdgeR,down,FBtr0300889
Bowtie,EdgeR,down,FBtr0305679
Bowtie,EdgeR,down,FBtr0079003
Bowtie,EdgeR,down,FBtr0073422
Bowtie,EdgeR,down,FBtr0072506
Bowtie,EdgeR,down,FBtr0301143
Bowtie,EdgeR,down,FBtr0339629
Bowtie,EdgeR,down,FBtr0112808
Bowtie,EdgeR,down,FBtr0112807
Bowtie,EdgeR,down,FBtr0113386
Bowtie,EdgeR,down,FBtr0084927
Bowtie,EdgeR,down,FBtr0347201
Bowtie,EdgeR,down,FBtr0347200
Bowtie,EdgeR,down,FBtr0301501
Bowtie,EdgeR,down,FBtr0082057
Bowtie,EdgeR,down,FBtr0087870
Bowtie,EdgeR,down,FBtr0302151
Bowtie,EdgeR,down,FBtr0089989
Bowtie,EdgeR,down,FBtr0091719
Bowtie,EdgeR,down,FBtr0340125
Bowtie,EdgeR,down,FBtr0085307
Bowtie,EdgeR,up,FBtr0072393
Bowtie,EdgeR,up,FBtr0087390
Bowtie,EdgeR,up,FBtr0337056
Bowtie,EdgeR,up,FBtr0079708
Bowtie,EdgeR,up,FBtr0336736
Bowtie,EdgeR,up,FBtr0088550
Bowtie,EdgeR,up,FBtr0082183
Bowtie,EdgeR,up,FBtr0089921
Bowtie,EdgeR,up,FBtr0087307
Bowtie,EdgeR,up,FBtr0071835
Bowtie,EdgeR,up,FBtr0306917
Bowtie,EdgeR,up,FBtr0070393
Bowtie,EdgeR,up,FBtr0082790
Bowtie,EdgeR,up,FBtr0080391
Bowtie,EdgeR,up,FBtr0334762
Bowtie,EdgeR,up,FBtr0086975
Bowtie,EdgeR,up,FBtr0301651
Bowtie,EdgeR,up,FBtr0085377
Bowtie,EdgeR,up,FBtr0072967
Bowtie,EdgeR,up,FBtr0073378
Bowtie,EdgeR,up,FBtr0080617
Bowtie,EdgeR,up,FBtr0089963
Bowtie,EdgeR,up,FBtr0087008
Bowtie,EdgeR,up,FBtr0339643
Bowtie,EdgeR,up,FBtr0300190
Bowtie,EdgeR,up,FBtr0071935
Bowtie,EdgeR,up,FBtr0305668
Bowtie,EdgeR,up,FBtr0074916
Bowtie,EdgeR,up,FBtr0345114
Bowtie,EdgeR,up,FBtr0075389
Bowtie,EdgeR,up,FBtr0080838
Bowtie,EdgeR,up,FBtr0110932
Bowtie,EdgeR,up,FBtr0078811
Bowtie,EdgeR,up,FBtr0100199
Bowtie,EdgeR,up,FBtr0085755
Bowtie,EdgeR,up,FBtr0309301
Bowtie,EdgeR,up,FBtr0083252
Bowtie,EdgeR,up,FBtr0071105
Bowtie,EdgeR,up,FBtr0085249
Bowtie,EdgeR,up,FBtr0273370
Bowtie,EdgeR,up,FBtr0332746
Bowtie,EdgeR,up,FBtr0088370
Bowtie,EdgeR,up,FBtr0112851
Bowtie,EdgeR,up,FBtr0333662
Bowtie,EdgeR,up,FBtr0081008
Bowtie,EdgeR,up,FBtr0089937
Bowtie,EdgeR,up,FBtr0087004
Bowtie,EdgeR,up,FBtr0100375
Bowtie,EdgeR,up,FBtr0100457
Bowtie,EdgeR,up,FBtr0089484
Bowtie,EdgeR,up,FBtr0308034
Bowtie,EdgeR,up,FBtr0310647
Bowtie,EdgeR,up,FBtr0087621
Bowtie,EdgeR,up,FBtr0301450
Bowtie,EdgeR,up,FBtr0112532
Bowtie,EdgeR,up,FBtr0087431
Bowtie,EdgeR,up,FBtr0303756
Bowtie,EdgeR,up,FBtr0085715
Bowtie,EdgeR,up,FBtr0070457
Bowtie,EdgeR,up,FBtr0306255
Bowtie,EdgeR,up,FBtr0075753
Bowtie,EdgeR,up,FBtr0333020
Bowtie,EdgeR,up,FBtr0087415
Bowtie,EdgeR,up,FBtr0100361
Bowtie,EdgeR,up,FBtr0082208
Bowtie,EdgeR,up,FBtr0089877
Bowtie,EdgeR,up,FBtr0075927
Bowtie,EdgeR,up,FBtr0111027
Bowtie,EdgeR,up,FBtr0111030
Bowtie,EdgeR,up,FBtr0302695
Bowtie,EdgeR,up,FBtr0302692
Bowtie,EdgeR,up,FBtr0111032
Bowtie,EdgeR,up,FBtr0111029
Bowtie,EdgeR,up,FBtr0302694
Bowtie,EdgeR,up,FBtr0087257
Bowtie,EdgeR,up,FBtr0302645
Bowtie,EdgeR,up,FBtr0085094
Bowtie,EdgeR,up,FBtr0334309
Bowtie,EdgeR,up,FBtr0071048
Bowtie,EdgeR,up,FBtr0082139
Bowtie,EdgeR,up,FBtr0303787
Bowtie,EdgeR,up,FBtr0300612
Bowtie,EdgeR,up,FBtr0084028
Bowtie,EdgeR,up,FBtr0307521
Bowtie,EdgeR,up,FBtr0307520
Bowtie,EdgeR,up,FBtr0336616
Bowtie,EdgeR,up,FBtr0078204
Bowtie,EdgeR,up,FBtr0308065
Bowtie,EdgeR,up,FBtr0301403
Bowtie,EdgeR,up,FBtr0306244
Bowtie,EdgeR,up,FBtr0100595
Bowtie,EdgeR,up,FBtr0335178
Bowtie,EdgeR,up,FBtr0087295
Bowtie,EdgeR,up,FBtr0302938
Bowtie,EdgeR,up,FBtr0081958
Bowtie,EdgeR,up,FBtr0306107
Bowtie,EdgeR,up,FBtr0084447
Bowtie,EdgeR,up,FBtr0084449
Bowtie,EdgeR,up,FBtr0087533
Bowtie,EdgeR,up,FBtr0087534
Bowtie,EdgeR,up,FBtr0084659
Bowtie,EdgeR,up,FBtr0330730
Bowtie,EdgeR,up,FBtr0079491
Bowtie,EdgeR,up,FBtr0072087
Bowtie,EdgeR,up,FBtr0113113
Bowtie,EdgeR,up,FBtr0087789
Bowtie,EdgeR,up,FBtr0290019
Bowtie,EdgeR,up,FBtr0332529
Bowtie,EdgeR,up,FBtr0330118
Bowtie,EdgeR,up,FBtr0078915
Bowtie,EdgeR,up,FBtr0301504
Bowtie,EdgeR,up,FBtr0079077
Bowtie,EdgeR,up,FBtr0300599
Bowtie,EdgeR,up,FBtr0343424
Bowtie,EdgeR,up,FBtr0306930
Bowtie,EdgeR,up,FBtr0302615
Bowtie,EdgeR,up,FBtr0088996
Bowtie,EdgeR,up,FBtr0077645
Bowtie,EdgeR,up,FBtr0335025
Bowtie,EdgeR,up,FBtr0335024
Bowtie,EdgeR,up,FBtr0073393
Bowtie,EdgeR,up,FBtr0306556
Bowtie,EdgeR,up,FBtr0081352
Bowtie,EdgeR,up,FBtr0081354
Bowtie,EdgeR,up,FBtr0079042
Bowtie,EdgeR,up,FBtr0303445
Bowtie,EdgeR,up,FBtr0072956
Bowtie,EdgeR,up,FBtr0333362
Bowtie,EdgeR,up,FBtr0304995
Bowtie,EdgeR,up,FBtr0304993
Bowtie,EdgeR,up,FBtr0304997
Bowtie,EdgeR,up,FBtr0084958
Bowtie,EdgeR,up,FBtr0308253
Bowtie,EdgeR,up,FBtr0078144
Bowtie,EdgeR,up,FBtr0071934
Bowtie,EdgeR,up,FBtr0085382
Bowtie,EdgeR,up,FBtr0334867
Bowtie,EdgeR,up,FBtr0345142
Bowtie,EdgeR,up,FBtr0078937
Bowtie,EdgeR,up,FBtr0299952
Bowtie,EdgeR,up,FBtr0077910
Bowtie,EdgeR,up,FBtr0083967
Bowtie,EdgeR,up,FBtr0070985
Bowtie,EdgeR,up,FBtr0078083
Bowtie,EdgeR,up,FBtr0074276
Bowtie,EdgeR,up,FBtr0342811
Bowtie,EdgeR,up,FBtr0301537
Bowtie,EdgeR,up,FBtr0075341
Bowtie,EdgeR,up,FBtr0305968
Bowtie,EdgeR,up,FBtr0085209
Bowtie,EdgeR,up,FBtr0084990
Bowtie,EdgeR,up,FBtr0339612
Bowtie,EdgeR,up,FBtr0329957
Bowtie,EdgeR,up,FBtr0076771
Bowtie,EdgeR,up,FBtr0346863
Bowtie,EdgeR,up,FBtr0113452
Bowtie,EdgeR,up,FBtr0075811
Bowtie,EdgeR,up,FBtr0080262
Bowtie,EdgeR,up,FBtr0080261
Bowtie,EdgeR,up,FBtr0309099
Bowtie,EdgeR,up,FBtr0077707
Bowtie,EdgeR,up,FBtr0305056
Bowtie,EdgeR,up,FBtr0074842
Bowtie,EdgeR,up,FBtr0082096
Bowtie,EdgeR,up,FBtr0090022
Bowtie,EdgeR,up,FBtr0073339
Bowtie,EdgeR,up,FBtr0332089
Bowtie,EdgeR,up,FBtr0334328
Bowtie,EdgeR,up,FBtr0290076
Bowtie,EdgeR,up,FBtr0299968
Bowtie,EdgeR,up,FBtr0079253
Bowtie,EdgeR,up,FBtr0340709
Bowtie,EdgeR,up,FBtr0085156
Bowtie,EdgeR,up,FBtr0081211
Bowtie,EdgeR,up,FBtr0330186
Bowtie,EdgeR,up,FBtr0310438
Bowtie,EdgeR,up,FBtr0336904
Bowtie,EdgeR,up,FBtr0075204
Bowtie,EdgeR,up,FBtr0330380
Bowtie,EdgeR,up,FBtr0308562
Bowtie,EdgeR,up,FBtr0301915
Bowtie,EdgeR,up,FBtr0088774
Bowtie,EdgeR,up,FBtr0113470
Bowtie,EdgeR,up,FBtr0339144
Bowtie,EdgeR,up,FBtr0289981
Bowtie,EdgeR,up,FBtr0089649
Bowtie,EdgeR,up,FBtr0071240
Bowtie,EdgeR,up,FBtr0088224
Bowtie,EdgeR,up,FBtr0080565
Bowtie,EdgeR,up,FBtr0332203
Bowtie,EdgeR,up,FBtr0303387
Bowtie,EdgeR,up,FBtr0303384
Bowtie,EdgeR,up,FBtr0332046
Bowtie,EdgeR,up,FBtr0079148
Bowtie,EdgeR,up,FBtr0307306
Bowtie,EdgeR,up,FBtr0310034
Bowtie,EdgeR,up,FBtr0310653
Bowtie,EdgeR,up,FBtr0077234
Bowtie,EdgeR,up,FBtr0077235
Bowtie,EdgeR,up,FBtr0303994
Bowtie,EdgeR,up,FBtr0332930
Bowtie,EdgeR,up,FBtr0076792
Bowtie,EdgeR,up,FBtr0303106
Bowtie,EdgeR,up,FBtr0336620
Bowtie,EdgeR,up,FBtr0077511
Bowtie,EdgeR,up,FBtr0290077
Bowtie,EdgeR,up,FBtr0085735
Bowtie,EdgeR,up,FBtr0084054
Bowtie,EdgeR,up,FBtr0074255
Bowtie,EdgeR,up,FBtr0087530
Bowtie,EdgeR,up,FBtr0077409
Bowtie,EdgeR,up,FBtr0071690
Bowtie,EdgeR,up,FBtr0332500
Bowtie,EdgeR,up,FBtr0332502
Bowtie,EdgeR,up,FBtr0332017
Bowtie,EdgeR,up,FBtr0081004
Bowtie,EdgeR,up,FBtr0332317
Bowtie,EdgeR,up,FBtr0077988
Bowtie,EdgeR,up,FBtr0290327
Bowtie,EdgeR,up,FBtr0072561
Bowtie,EdgeR,up,FBtr0302592
Bowtie,EdgeR,up,FBtr0087115
Bowtie,EdgeR,up,FBtr0339764
Bowtie,EdgeR,up,FBtr0087601
Bowtie,EdgeR,up,FBtr0344703
Bowtie,EdgeR,up,FBtr0073269
Bowtie,EdgeR,up,FBtr0344179
Bowtie,EdgeR,up,FBtr0084549
Bowtie,EdgeR,up,FBtr0087960
Bowtie,EdgeR,up,FBtr0339956
Bowtie,EdgeR,up,FBtr0336759
Bowtie,EdgeR,up,FBtr0110971
Bowtie,EdgeR,up,FBtr0339493
Bowtie,EdgeR,up,FBtr0310660
Bowtie,EdgeR,up,FBtr0080932
Bowtie,EdgeR,up,FBtr0331931
Bowtie,EdgeR,up,FBtr0074338
Bowtie,EdgeR,up,FBtr0082158
Bowtie,EdgeR,up,FBtr0076459
Bowtie,EdgeR,up,FBtr0079632
Bowtie,EdgeR,up,FBtr0332057
Bowtie,EdgeR,up,FBtr0303857
Bowtie,EdgeR,up,FBtr0086670
Bowtie,EdgeR,up,FBtr0345487
Bowtie,EdgeR,up,FBtr0076140
Bowtie,EdgeR,up,FBtr0089343
Bowtie,EdgeR,up,FBtr0089360
Bowtie,EdgeR,up,FBtr0089361
Bowtie,EdgeR,up,FBtr0089348
Bowtie,EdgeR,up,FBtr0089359
Bowtie,EdgeR,up,FBtr0072864
Bowtie,EdgeR,up,FBtr0080590
Bowtie,EdgeR,up,FBtr0085423
Bowtie,EdgeR,up,FBtr0077524
Bowtie,EdgeR,up,FBtr0080306
Bowtie,EdgeR,up,FBtr0075077
Bowtie,EdgeR,up,FBtr0302322
Bowtie,EdgeR,up,FBtr0086336
Bowtie,EdgeR,up,FBtr0113291
Bowtie,EdgeR,up,FBtr0309828
Bowtie,EdgeR,up,FBtr0113011
Bowtie,EdgeR,up,FBtr0078191
Bowtie,EdgeR,up,FBtr0302513
Bowtie,EdgeR,up,FBtr0112577
Bowtie,EdgeR,up,FBtr0070809
Bowtie,EdgeR,up,FBtr0075354
Bowtie,EdgeR,up,FBtr0076541
Bowtie,EdgeR,up,FBtr0307057
Bowtie,EdgeR,up,FBtr0303749
Bowtie,EdgeR,up,FBtr0334011
Bowtie,EdgeR,up,FBtr0302896
Bowtie,EdgeR,up,FBtr0072410
Bowtie,EdgeR,up,FBtr0081484
Bowtie,EdgeR,up,FBtr0329895
Bowtie,EdgeR,up,FBtr0100282
Bowtie,EdgeR,up,FBtr0334282
Bowtie,EdgeR,up,FBtr0332042
Bowtie,EdgeR,up,FBtr0073421
Bowtie,EdgeR,up,FBtr0073423
Bowtie,EdgeR,up,FBtr0330725
Bowtie,EdgeR,up,FBtr0308626
Bowtie,EdgeR,up,FBtr0308629
Bowtie,EdgeR,up,FBtr0308631
Bowtie,EdgeR,up,FBtr0308633
Bowtie,EdgeR,up,FBtr0308627
Bowtie,EdgeR,up,FBtr0083200
Bowtie,EdgeR,up,FBtr0086617
Bowtie,EdgeR,up,FBtr0335012
Bowtie,EdgeR,up,FBtr0332260
Bowtie,EdgeR,up,FBtr0301500
Bowtie,EdgeR,up,FBtr0299525
Bowtie,EdgeR,up,FBtr0299524
Bowtie,EdgeR,up,FBtr0343580
Bowtie,EdgeR,up,FBtr0299526
Bowtie,EdgeR,up,FBtr0330325
Bowtie,EdgeR,up,FBtr0076525
Bowtie,EdgeR,up,FBtr0344980
Bowtie,EdgeR,up,FBtr0071466
Bowtie,EdgeR,up,FBtr0299967
Bowtie,EdgeR,up,FBtr0085828
Bowtie,EdgeR,up,FBtr0307289
Bowtie,EdgeR,up,FBtr0113190
=======
bowtie2,edgeR,down,FBtr0085105
bowtie2,edgeR,down,FBtr0073120
bowtie2,edgeR,down,FBtr0085085
bowtie2,edgeR,down,FBtr0339391
bowtie2,edgeR,down,FBtr0086613
bowtie2,edgeR,down,FBtr0346714
bowtie2,edgeR,down,FBtr0100508
bowtie2,edgeR,down,FBtr0100504
bowtie2,edgeR,down,FBtr0337020
bowtie2,edgeR,down,FBtr0083467
bowtie2,edgeR,down,FBtr0073974
bowtie2,edgeR,down,FBtr0084465
bowtie2,edgeR,down,FBtr0080389
bowtie2,edgeR,down,FBtr0076545
bowtie2,edgeR,down,FBtr0300272
bowtie2,edgeR,down,FBtr0084911
bowtie2,edgeR,down,FBtr0307015
bowtie2,edgeR,down,FBtr0075699
bowtie2,edgeR,down,FBtr0081257
bowtie2,edgeR,down,FBtr0086676
bowtie2,edgeR,down,FBtr0080839
bowtie2,edgeR,down,FBtr0340135
bowtie2,edgeR,down,FBtr0073359
bowtie2,edgeR,down,FBtr0301413
bowtie2,edgeR,down,FBtr0077920
bowtie2,edgeR,down,FBtr0087820
bowtie2,edgeR,down,FBtr0308213
bowtie2,edgeR,down,FBtr0072635
bowtie2,edgeR,down,FBtr0075199
bowtie2,edgeR,down,FBtr0076453
bowtie2,edgeR,down,FBtr0078069
bowtie2,edgeR,down,FBtr0078841
bowtie2,edgeR,down,FBtr0089978
bowtie2,edgeR,down,FBtr0334586
bowtie2,edgeR,down,FBtr0089485
bowtie2,edgeR,down,FBtr0340190
bowtie2,edgeR,down,FBtr0075942
bowtie2,edgeR,down,FBtr0300542
bowtie2,edgeR,down,FBtr0336697
bowtie2,edgeR,down,FBtr0087618
bowtie2,edgeR,down,FBtr0087617
bowtie2,edgeR,down,FBtr0273224
bowtie2,edgeR,down,FBtr0301964
bowtie2,edgeR,down,FBtr0077008
bowtie2,edgeR,down,FBtr0306254
bowtie2,edgeR,down,FBtr0073839
bowtie2,edgeR,down,FBtr0302291
bowtie2,edgeR,down,FBtr0305917
bowtie2,edgeR,down,FBtr0114506
bowtie2,edgeR,down,FBtr0075928
bowtie2,edgeR,down,FBtr0081614
bowtie2,edgeR,down,FBtr0301838
bowtie2,edgeR,down,FBtr0301837
bowtie2,edgeR,down,FBtr0087258
bowtie2,edgeR,down,FBtr0310064
bowtie2,edgeR,down,FBtr0077310
bowtie2,edgeR,down,FBtr0076427
bowtie2,edgeR,down,FBtr0346711
bowtie2,edgeR,down,FBtr0089263
bowtie2,edgeR,down,FBtr0308232
bowtie2,edgeR,down,FBtr0304914
bowtie2,edgeR,down,FBtr0072102
bowtie2,edgeR,down,FBtr0335180
bowtie2,edgeR,down,FBtr0088663
bowtie2,edgeR,down,FBtr0308644
bowtie2,edgeR,down,FBtr0070392
bowtie2,edgeR,down,FBtr0071537
bowtie2,edgeR,down,FBtr0072712
bowtie2,edgeR,down,FBtr0082889
bowtie2,edgeR,down,FBtr0344560
bowtie2,edgeR,down,FBtr0081635
bowtie2,edgeR,down,FBtr0346276
bowtie2,edgeR,down,FBtr0332963
bowtie2,edgeR,down,FBtr0303709
bowtie2,edgeR,down,FBtr0346541
bowtie2,edgeR,down,FBtr0076454
bowtie2,edgeR,down,FBtr0075541
bowtie2,edgeR,down,FBtr0082018
bowtie2,edgeR,down,FBtr0082017
bowtie2,edgeR,down,FBtr0344873
bowtie2,edgeR,down,FBtr0100470
bowtie2,edgeR,down,FBtr0331507
bowtie2,edgeR,down,FBtr0302833
bowtie2,edgeR,down,FBtr0088266
bowtie2,edgeR,down,FBtr0112735
bowtie2,edgeR,down,FBtr0302453
bowtie2,edgeR,down,FBtr0079199
bowtie2,edgeR,down,FBtr0331664
bowtie2,edgeR,down,FBtr0331663
bowtie2,edgeR,down,FBtr0331662
bowtie2,edgeR,down,FBtr0299538
bowtie2,edgeR,down,FBtr0073426
bowtie2,edgeR,down,FBtr0073292
bowtie2,edgeR,down,FBtr0071849
bowtie2,edgeR,down,FBtr0077644
bowtie2,edgeR,down,FBtr0301487
bowtie2,edgeR,down,FBtr0089581
bowtie2,edgeR,down,FBtr0300649
bowtie2,edgeR,down,FBtr0310621
bowtie2,edgeR,down,FBtr0336667
bowtie2,edgeR,down,FBtr0301884
