Align,DE,Dir,GeneName,,,,,,
kallisto,DESeq,up,FBtr0088052,,,,,,
kallisto,DESeq,up,FBtr0085155,,,,,,
kallisto,DESeq,up,FBtr0301492,,,,,,
kallisto,DESeq,up,FBtr0342607,,,,,,
kallisto,DESeq,up,FBtr0113380,,,,,,
kallisto,DESeq,up,FBtr0345429,,,,,,
kallisto,DESeq,up,FBtr0083904,,,,,,
kallisto,DESeq,up,FBtr0100575,,,,,,
kallisto,DESeq,up,FBtr0302034,,,,,,
kallisto,DESeq,up,FBtr0077247,,,,,,
kallisto,DESeq,up,FBtr0076935,,,,,,
kallisto,DESeq,up,FBtr0089716,,,,,,
kallisto,DESeq,up,FBtr0080886,,,,,,
kallisto,DESeq,up,FBtr0310669,,,,,,
kallisto,DESeq,up,FBtr0302561,,,,,,
kallisto,DESeq,up,FBtr0332202,,,,,,
kallisto,DESeq,up,FBtr0330306,,,,,,
kallisto,DESeq,up,FBtr0301708,,,,,,
kallisto,DESeq,up,FBtr0332403,,,,,,
kallisto,DESeq,up,FBtr0303385,,,,,,
kallisto,DESeq,up,FBtr0302548,,,,,,
kallisto,DESeq,up,FBtr0345070,,,,,,
kallisto,DESeq,up,FBtr0336676,,,,,,
kallisto,DESeq,up,FBtr0078136,,,,,,
kallisto,DESeq,up,FBtr0087493,,,,,,
kallisto,DESeq,up,FBtr0305073,,,,,,
kallisto,DESeq,up,FBtr0290078,,,,,,
kallisto,DESeq,up,FBtr0086555,,,,,,
kallisto,DESeq,up,FBtr0087147,,,,,,
kallisto,DESeq,up,FBtr0330225,,,,,,
kallisto,DESeq,up,FBtr0332478,,,,,,
kallisto,DESeq,up,FBtr0080892,,,,,,
kallisto,DESeq,up,FBtr0085987,,,,,,
kallisto,DESeq,up,FBtr0302712,,,,,,
kallisto,DESeq,up,FBtr0071004,,,,,,
kallisto,DESeq,up,FBtr0334404,,,,,,
kallisto,DESeq,up,FBtr0334405,,,,,,
kallisto,DESeq,up,FBtr0304005,,,,,,
kallisto,DESeq,up,FBtr0333073,,,,,,
kallisto,DESeq,up,FBtr0333972,,,,,,
kallisto,DESeq,up,FBtr0089516,,,,,,
kallisto,DESeq,up,FBtr0306239,,,,,,
kallisto,DESeq,up,FBtr0081619,,,,,,
kallisto,DESeq,up,FBtr0085001,,,,,,
kallisto,DESeq,up,FBtr0114544,,,,,,
kallisto,DESeq,up,FBtr0340212,,,,,,
kallisto,DESeq,up,FBtr0335278,,,,,,
kallisto,DESeq,up,FBtr0112994,,,,,,
kallisto,DESeq,up,FBtr0113323,,,,,,
kallisto,DESeq,up,FBtr0111065,,,,,,
kallisto,DESeq,up,FBtr0300017,,,,,,
kallisto,DESeq,up,FBtr0076678,,,,,,
kallisto,DESeq,up,FBtr0072767,,,,,,
kallisto,DESeq,up,FBtr0076500,,,,,,
kallisto,DESeq,up,FBtr0089349,,,,,,
kallisto,DESeq,up,FBtr0085899,,,,,,
kallisto,DESeq,up,FBtr0087089,,,,,,
kallisto,DESeq,up,FBtr0086474,,,,,,
kallisto,DESeq,up,FBtr0302905,,,,,,
kallisto,DESeq,up,FBtr0344989,,,,,,
kallisto,DESeq,up,FBtr0333657,,,,,,
kallisto,DESeq,up,FBtr0299920,,,,,,
kallisto,DESeq,up,FBtr0332038,,,,,,
kallisto,DESeq,up,FBtr0080592,,,,,,
kallisto,DESeq,up,FBtr0076496,,,,,,
kallisto,DESeq,up,FBtr0346946,,,,,,
kallisto,DESeq,up,FBtr0306087,,,,,,
kallisto,DESeq,up,FBtr0076668,,,,,,
kallisto,DESeq,up,FBtr0300889,,,,,,
kallisto,DESeq,up,FBtr0305679,,,,,,
kallisto,DESeq,up,FBtr0073422,,,,,,
kallisto,DESeq,up,FBtr0308621,,,,,,
kallisto,DESeq,up,FBtr0339974,,,,,,
kallisto,DESeq,up,FBtr0072506,,,,,,
kallisto,DESeq,up,FBtr0301143,,,,,,
kallisto,DESeq,up,FBtr0339629,,,,,,
kallisto,DESeq,up,FBtr0112808,,,,,,
kallisto,DESeq,up,FBtr0347200,,,,,,
kallisto,DESeq,up,FBtr0301501,,,,,,
kallisto,DESeq,up,FBtr0332604,,,,,,
kallisto,DESeq,up,FBtr0087870,,,,,,
kallisto,DESeq,up,FBtr0339741,,,,,,
kallisto,DESeq,up,FBtr0339418,,,,,,
kallisto,DESeq,up,FBtr0340125,,,,,,
kallisto,DESeq,up,FBtr0085307,,,,,,
kallisto,DESeq,down,FBtr0072393,,,,,,
kallisto,DESeq,down,FBtr0087390,,,,,,
kallisto,DESeq,down,FBtr0079708,,,,,,
kallisto,DESeq,down,FBtr0336736,,,,,,
kallisto,DESeq,down,FBtr0344277,,,,,,
kallisto,DESeq,down,FBtr0088549,,,,,,
kallisto,DESeq,down,FBtr0100643,,,,,,
kallisto,DESeq,down,FBtr0082183,,,,,,
kallisto,DESeq,down,FBtr0087308,,,,,,
kallisto,DESeq,down,FBtr0087307,,,,,,
kallisto,DESeq,down,FBtr0071835,,,,,,
kallisto,DESeq,down,FBtr0306917,,,,,,
kallisto,DESeq,down,FBtr0070393,,,,,,
kallisto,DESeq,down,FBtr0088261,,,,,,
kallisto,DESeq,down,FBtr0336467,,,,,,
kallisto,DESeq,down,FBtr0089409,,,,,,
kallisto,DESeq,down,FBtr0077560,,,,,,
kallisto,DESeq,down,FBtr0072967,,,,,,
kallisto,DESeq,down,FBtr0089963,,,,,,
kallisto,DESeq,down,FBtr0339643,,,,,,
kallisto,DESeq,down,FBtr0307016,,,,,,
kallisto,DESeq,down,FBtr0300190,,,,,,
kallisto,DESeq,down,FBtr0305668,,,,,,
kallisto,DESeq,down,FBtr0080514,,,,,,
kallisto,DESeq,down,FBtr0306520,,,,,,
kallisto,DESeq,down,FBtr0080838,,,,,,
kallisto,DESeq,down,FBtr0078811,,,,,,
kallisto,DESeq,down,FBtr0085755,,,,,,
kallisto,DESeq,down,FBtr0308638,,,,,,
kallisto,DESeq,down,FBtr0302323,,,,,,
kallisto,DESeq,down,FBtr0304933,,,,,,
kallisto,DESeq,down,FBtr0273370,,,,,,
kallisto,DESeq,down,FBtr0112851,,,,,,
kallisto,DESeq,down,FBtr0333662,,,,,,
kallisto,DESeq,down,FBtr0081008,,,,,,
kallisto,DESeq,down,FBtr0332851,,,,,,
kallisto,DESeq,down,FBtr0089937,,,,,,
kallisto,DESeq,down,FBtr0087004,,,,,,
kallisto,DESeq,down,FBtr0100375,,,,,,
kallisto,DESeq,down,FBtr0334585,,,,,,
kallisto,DESeq,down,FBtr0100457,,,,,,
kallisto,DESeq,down,FBtr0089484,,,,,,
kallisto,DESeq,down,FBtr0113140,,,,,,
kallisto,DESeq,down,FBtr0310647,,,,,,
kallisto,DESeq,down,FBtr0087621,,,,,,
kallisto,DESeq,down,FBtr0301796,,,,,,
kallisto,DESeq,down,FBtr0301450,,,,,,
kallisto,DESeq,down,FBtr0112532,,,,,,
kallisto,DESeq,down,FBtr0303756,,,,,,
kallisto,DESeq,down,FBtr0070457,,,,,,
kallisto,DESeq,down,FBtr0075753,,,,,,
kallisto,DESeq,down,FBtr0333020,,,,,,
kallisto,DESeq,down,FBtr0087415,,,,,,
kallisto,DESeq,down,FBtr0089875,,,,,,
kallisto,DESeq,down,FBtr0075927,,,,,,
kallisto,DESeq,down,FBtr0111030,,,,,,
kallisto,DESeq,down,FBtr0302695,,,,,,
kallisto,DESeq,down,FBtr0302692,,,,,,
kallisto,DESeq,down,FBtr0302694,,,,,,
kallisto,DESeq,down,FBtr0081504,,,,,,
kallisto,DESeq,down,FBtr0087257,,,,,,
kallisto,DESeq,down,FBtr0302645,,,,,,
kallisto,DESeq,down,FBtr0345896,,,,,,
kallisto,DESeq,down,FBtr0085094,,,,,,
kallisto,DESeq,down,FBtr0082139,,,,,,
kallisto,DESeq,down,FBtr0303787,,,,,,
kallisto,DESeq,down,FBtr0310055,,,,,,
kallisto,DESeq,down,FBtr0307520,,,,,,
kallisto,DESeq,down,FBtr0336616,,,,,,
kallisto,DESeq,down,FBtr0078204,,,,,,
kallisto,DESeq,down,FBtr0308065,,,,,,
kallisto,DESeq,down,FBtr0301403,,,,,,
kallisto,DESeq,down,FBtr0306244,,,,,,
kallisto,DESeq,down,FBtr0100595,,,,,,
kallisto,DESeq,down,FBtr0086503,,,,,,
kallisto,DESeq,down,FBtr0087295,,,,,,
kallisto,DESeq,down,FBtr0302938,,,,,,
kallisto,DESeq,down,FBtr0081958,,,,,,
kallisto,DESeq,down,FBtr0306107,,,,,,
kallisto,DESeq,down,FBtr0330159,,,,,,
kallisto,DESeq,down,FBtr0086055,,,,,,
kallisto,DESeq,down,FBtr0339081,,,,,,
kallisto,DESeq,down,FBtr0087533,,,,,,
kallisto,DESeq,down,FBtr0084659,,,,,,
kallisto,DESeq,down,FBtr0330730,,,,,,
kallisto,DESeq,down,FBtr0072087,,,,,,
kallisto,DESeq,down,FBtr0304621,,,,,,
kallisto,DESeq,down,FBtr0330330,,,,,,
kallisto,DESeq,down,FBtr0087789,,,,,,
kallisto,DESeq,down,FBtr0290019,,,,,,
kallisto,DESeq,down,FBtr0330269,,,,,,
kallisto,DESeq,down,FBtr0332529,,,,,,
kallisto,DESeq,down,FBtr0330118,,,,,,
kallisto,DESeq,down,FBtr0079077,,,,,,
kallisto,DESeq,down,FBtr0300599,,,,,,
kallisto,DESeq,down,FBtr0343424,,,,,,
kallisto,DESeq,down,FBtr0306930,,,,,,
kallisto,DESeq,down,FBtr0302615,,,,,,
kallisto,DESeq,down,FBtr0088996,,,,,,
kallisto,DESeq,down,FBtr0306919,,,,,,
kallisto,DESeq,down,FBtr0077645,,,,,,
kallisto,DESeq,down,FBtr0335024,,,,,,
kallisto,DESeq,down,FBtr0081352,,,,,,
kallisto,DESeq,down,FBtr0081354,,,,,,
kallisto,DESeq,down,FBtr0079042,,,,,,
kallisto,DESeq,down,FBtr0072956,,,,,,
kallisto,DESeq,down,FBtr0304995,,,,,,
kallisto,DESeq,down,FBtr0304993,,,,,,
kallisto,DESeq,down,FBtr0304997,,,,,,
kallisto,DESeq,down,FBtr0078144,,,,,,
kallisto,DESeq,down,FBtr0071934,,,,,,
kallisto,DESeq,down,FBtr0334867,,,,,,
kallisto,DESeq,down,FBtr0345142,,,,,,
kallisto,DESeq,down,FBtr0078937,,,,,,
kallisto,DESeq,down,FBtr0083967,,,,,,
kallisto,DESeq,down,FBtr0070985,,,,,,
kallisto,DESeq,down,FBtr0078083,,,,,,
kallisto,DESeq,down,FBtr0074276,,,,,,
kallisto,DESeq,down,FBtr0342815,,,,,,
kallisto,DESeq,down,FBtr0305968,,,,,,
kallisto,DESeq,down,FBtr0085209,,,,,,
kallisto,DESeq,down,FBtr0329957,,,,,,
kallisto,DESeq,down,FBtr0329955,,,,,,
kallisto,DESeq,down,FBtr0076771,,,,,,
kallisto,DESeq,down,FBtr0075811,,,,,,
kallisto,DESeq,down,FBtr0334849,,,,,,
kallisto,DESeq,down,FBtr0330048,,,,,,
kallisto,DESeq,down,FBtr0309099,,,,,,
kallisto,DESeq,down,FBtr0082094,,,,,,
kallisto,DESeq,down,FBtr0308201,,,,,,
kallisto,DESeq,down,FBtr0073339,,,,,,
kallisto,DESeq,down,FBtr0075039,,,,,,
kallisto,DESeq,down,FBtr0334328,,,,,,
kallisto,DESeq,down,FBtr0339189,,,,,,
kallisto,DESeq,down,FBtr0072740,,,,,,
kallisto,DESeq,down,FBtr0333595,,,,,,
kallisto,DESeq,down,FBtr0290076,,,,,,
kallisto,DESeq,down,FBtr0299968,,,,,,
kallisto,DESeq,down,FBtr0340709,,,,,,
kallisto,DESeq,down,FBtr0331642,,,,,,
kallisto,DESeq,down,FBtr0085156,,,,,,
kallisto,DESeq,down,FBtr0070965,,,,,,
kallisto,DESeq,down,FBtr0336904,,,,,,
kallisto,DESeq,down,FBtr0075204,,,,,,
kallisto,DESeq,down,FBtr0307374,,,,,,
kallisto,DESeq,down,FBtr0088774,,,,,,
kallisto,DESeq,down,FBtr0306616,,,,,,
kallisto,DESeq,down,FBtr0113470,,,,,,
kallisto,DESeq,down,FBtr0339144,,,,,,
kallisto,DESeq,down,FBtr0332116,,,,,,
kallisto,DESeq,down,FBtr0289981,,,,,,
kallisto,DESeq,down,FBtr0303912,,,,,,
kallisto,DESeq,down,FBtr0333625,,,,,,
kallisto,DESeq,down,FBtr0300877,,,,,,
kallisto,DESeq,down,FBtr0089649,,,,,,
kallisto,DESeq,down,FBtr0071240,,,,,,
kallisto,DESeq,down,FBtr0080565,,,,,,
kallisto,DESeq,down,FBtr0073531,,,,,,
kallisto,DESeq,down,FBtr0332203,,,,,,
kallisto,DESeq,down,FBtr0332205,,,,,,
kallisto,DESeq,down,FBtr0303387,,,,,,
kallisto,DESeq,down,FBtr0332405,,,,,,
kallisto,DESeq,down,FBtr0303389,,,,,,
kallisto,DESeq,down,FBtr0303384,,,,,,
kallisto,DESeq,down,FBtr0332046,,,,,,
kallisto,DESeq,down,FBtr0310034,,,,,,
kallisto,DESeq,down,FBtr0345034,,,,,,
kallisto,DESeq,down,FBtr0310653,,,,,,
kallisto,DESeq,down,FBtr0077234,,,,,,
kallisto,DESeq,down,FBtr0303994,,,,,,
kallisto,DESeq,down,FBtr0088521,,,,,,
kallisto,DESeq,down,FBtr0332930,,,,,,
kallisto,DESeq,down,FBtr0290025,,,,,,
kallisto,DESeq,down,FBtr0332142,,,,,,
kallisto,DESeq,down,FBtr0301857,,,,,,
kallisto,DESeq,down,FBtr0083764,,,,,,
kallisto,DESeq,down,FBtr0336620,,,,,,
kallisto,DESeq,down,FBtr0290077,,,,,,
kallisto,DESeq,down,FBtr0085735,,,,,,
kallisto,DESeq,down,FBtr0077409,,,,,,
kallisto,DESeq,down,FBtr0302713,,,,,,
kallisto,DESeq,down,FBtr0332500,,,,,,
kallisto,DESeq,down,FBtr0081004,,,,,,
kallisto,DESeq,down,FBtr0290327,,,,,,
kallisto,DESeq,down,FBtr0072561,,,,,,
kallisto,DESeq,down,FBtr0300039,,,,,,
kallisto,DESeq,down,FBtr0302592,,,,,,
kallisto,DESeq,down,FBtr0087115,,,,,,
kallisto,DESeq,down,FBtr0086272,,,,,,
kallisto,DESeq,down,FBtr0344703,,,,,,
kallisto,DESeq,down,FBtr0073269,,,,,,
kallisto,DESeq,down,FBtr0344179,,,,,,
kallisto,DESeq,down,FBtr0290197,,,,,,
kallisto,DESeq,down,FBtr0084549,,,,,,
kallisto,DESeq,down,FBtr0336759,,,,,,
kallisto,DESeq,down,FBtr0110971,,,,,,
kallisto,DESeq,down,FBtr0339493,,,,,,
kallisto,DESeq,down,FBtr0310661,,,,,,
kallisto,DESeq,down,FBtr0082158,,,,,,
kallisto,DESeq,down,FBtr0076459,,,,,,
kallisto,DESeq,down,FBtr0332057,,,,,,
kallisto,DESeq,down,FBtr0303857,,,,,,
kallisto,DESeq,down,FBtr0086670,,,,,,
kallisto,DESeq,down,FBtr0076135,,,,,,
kallisto,DESeq,down,FBtr0089343,,,,,,
kallisto,DESeq,down,FBtr0089361,,,,,,
kallisto,DESeq,down,FBtr0089348,,,,,,
kallisto,DESeq,down,FBtr0089359,,,,,,
kallisto,DESeq,down,FBtr0085423,,,,,,
kallisto,DESeq,down,FBtr0310016,,,,,,
kallisto,DESeq,down,FBtr0078430,,,,,,
kallisto,DESeq,down,FBtr0075077,,,,,,
kallisto,DESeq,down,FBtr0302322,,,,,,
kallisto,DESeq,down,FBtr0086255,,,,,,
kallisto,DESeq,down,FBtr0309828,,,,,,
kallisto,DESeq,down,FBtr0113011,,,,,,
kallisto,DESeq,down,FBtr0078191,,,,,,
kallisto,DESeq,down,FBtr0075354,,,,,,
kallisto,DESeq,down,FBtr0076541,,,,,,
kallisto,DESeq,down,FBtr0077972,,,,,,
kallisto,DESeq,down,FBtr0307057,,,,,,
kallisto,DESeq,down,FBtr0332503,,,,,,
kallisto,DESeq,down,FBtr0303749,,,,,,
kallisto,DESeq,down,FBtr0302896,,,,,,
kallisto,DESeq,down,FBtr0081484,,,,,,
kallisto,DESeq,down,FBtr0329895,,,,,,
kallisto,DESeq,down,FBtr0334282,,,,,,
kallisto,DESeq,down,FBtr0332042,,,,,,
kallisto,DESeq,down,FBtr0073423,,,,,,
kallisto,DESeq,down,FBtr0330725,,,,,,
kallisto,DESeq,down,FBtr0335521,,,,,,
kallisto,DESeq,down,FBtr0308631,,,,,,
kallisto,DESeq,down,FBtr0335012,,,,,,
kallisto,DESeq,down,FBtr0335013,,,,,,
kallisto,DESeq,down,FBtr0332260,,,,,,
kallisto,DESeq,down,FBtr0343358,,,,,,
kallisto,DESeq,down,FBtr0299526,,,,,,
kallisto,DESeq,down,FBtr0344980,,,,,,
kallisto,DESeq,down,FBtr0302498,,,,,,
kallisto,DESeq,down,FBtr0307289,,,,,,
kallisto,DESeq,down,FBtr0113190,,,,,,
